0,1,2,3,4,5
0,0.067,-0.078,-0.205,0.875,1.24
0,0.217,-0.332,1.035,1.352,0.268
0,0.559,1.041,1.3,0.867,1.567
0,0.0,-0.738,2.555,0.99,0.279
0,-0.467,-0.946,2.656,1.272,0.307
0,-0.061,0.091,-0.143,0.712,0.96
0,-0.123,-0.331,1.493,0.657,2.941
0,-0.308,-0.69,2.064,1.159,0.401
0,0.0,0.259,0.634,1.748,0.229
1,-0.811,1.427,0.474,0.609,0.303
1,0.86,0.821,0.818,0.811,0.318
1,1.77,-0.724,1.372,1.054,0.655
1,0.0,0.83,0.342,0.576,0.105
1,-0.141,-0.228,-0.562,2.145,0.541
0,-0.424,1.601,0.476,1.531,1.404
0,-0.122,0.191,-0.355,1.963,0.532
0,-0.349,1.08,1.302,0.464,0.108
0,0.161,-0.225,-0.556,2.227,0.807
1,-0.168,-0.369,1.699,2.271,1.039
0,0.497,-0.624,1.986,1.36,0.316
0,-0.424,1.073,1.847,0.736,0.136
0,-0.123,-0.227,-0.595,2.581,0.533
1,-0.716,1.281,1.454,0.642,0.151
0,-0.1,0.241,0.629,2.139,0.533
1,-0.272,-0.701,2.477,1.405,0.6
0,-0.391,0.403,0.67,2.295,0.699
0,-0.125,-0.184,-0.417,2.238,0.619
0,0.0,0.694,0.404,0.299,0.111
0,0.0,-0.317,1.064,2.479,0.648
0,-0.139,0.229,0.545,2.226,1.669
0,-0.145,-0.252,0.756,1.689,0.416
0,0.912,0.264,0.119,0.225,0.06
0,-0.147,0.313,-0.594,2.604,0.492
1,1.722,-0.998,1.346,1.029,0.747
0,-0.175,0.534,0.874,2.591,1.312
0,-0.652,1.978,0.588,0.311,0.121
0,-0.305,0.411,0.766,2.317,0.626
0,-0.113,0.475,0.495,0.896,2.881
1,0.729,1.114,0.513,1.09,0.96
1,0.402,-0.692,2.495,1.502,0.48
0,-0.055,-0.078,0.136,-0.301,3.386
0,0.09,-0.123,-0.387,1.423,1.089
0,0.0,1.705,1.687,0.959,0.27
0,-0.133,0.137,0.201,-0.235,2.571
0,-0.099,-0.159,-0.449,2.285,0.912
0,-0.103,-0.201,-0.397,2.105,0.531
1,0.0,0.836,0.795,0.548,0.125
0,0.48,0.243,-0.496,3.03,0.874
1,0.52,0.699,1.513,0.688,0.362
0,-0.253,0.778,1.825,2.279,0.466
0,0.0,-0.625,0.49,0.514,0.155
0,-0.113,0.304,0.423,1.493,0.311
0,0.589,0.511,0.375,1.764,1.712
0,-0.141,0.182,0.293,1.185,1.055
0,0.0,-0.245,-0.621,3.348,0.577
1,0.536,1.138,1.002,0.711,0.266
0,0.0,0.697,1.768,2.018,0.273
0,1.106,0.491,-0.696,1.781,0.423
1,0.0,-0.808,0.326,0.594,0.105
0,-0.061,-0.088,-0.166,0.782,3.084
0,-0.19,0.283,0.492,2.083,0.82
0,-0.327,-0.517,2.176,1.792,0.464
0,1.608,-0.312,0.445,1.692,1.093
1,0.451,0.556,1.387,0.647,0.734
1,-1.184,1.539,-0.445,-0.25,-0.073
0,0.0,0.63,0.991,2.164,0.268
1,0.0,1.899,0.922,0.64,0.141
1,-0.762,-0.835,1.435,0.917,0.482
0,0.109,-0.122,-0.289,2.156,1.168
0,-0.228,-0.544,1.947,1.031,0.165
0,-0.107,-0.145,-0.291,2.225,0.967
0,0.163,0.222,-0.381,2.312,1.607
0,0.0,0.366,1.186,1.875,0.856
0,-0.385,1.274,-0.507,3.145,0.255
0,-0.153,-0.245,-0.597,3.451,0.556
0,0.0,1.672,1.533,0.777,0.148
0,0.0,0.334,1.087,1.755,0.58
0,-0.083,-0.168,-0.456,2.324,0.371
0,0.072,0.079,-0.127,0.487,1.905
0,-0.572,-0.777,2.051,0.953,0.172
0,1.824,-0.697,0.445,0.309,0.081
1,0.92,1.27,0.759,0.705,0.443
0,1.125,0.475,0.646,2.167,0.887
0,0.0,0.381,-0.639,2.711,0.832
0,-0.074,0.09,-0.111,-0.275,3.177
0,0.391,-0.772,2.908,1.007,0.341
1,0.689,0.716,1.608,1.445,0.955
0,-0.152,0.151,0.188,0.502,1.901
0,0.0,0.675,1.358,2.394,0.42
1,-0.904,2.194,1.048,0.659,0.218
0,-0.121,-0.213,-0.428,2.467,0.487
1,1.339,1.132,1.468,0.961,0.871
1,0.904,-0.318,0.325,0.443,0.12
1,1.043,1.063,2.044,1.09,0.328
1,0.648,-0.437,1.261,1.47,1.752
0,0.119,0.184,0.353,1.397,1.197
1,0.0,1.611,0.76,0.519,0.137
0,-0.156,-0.221,-0.478,1.713,0.693
0,0.0,1.056,2.024,0.836,0.18
0,0.344,-0.547,2.305,1.055,0.421
0,-0.171,0.167,-0.287,1.441,1.371
0,0.0,-0.335,1.133,2.462,0.64
1,-0.692,0.733,1.002,1.273,0.53
1,1.068,1.225,0.766,0.745,0.424
0,-0.159,0.263,-0.498,2.937,0.508
0,-0.256,0.451,0.82,1.328,1.956
0,0.0,0.333,0.82,1.356,0.17
0,0.0,-0.165,-0.377,1.828,0.352
1,1.106,1.117,0.514,0.496,0.184
0,-0.099,-0.169,-0.372,2.751,1.831
1,0.345,-0.425,1.552,0.885,0.66
0,-0.323,-0.786,2.209,1.13,0.269
0,-0.053,0.13,-0.107,0.639,2.389
1,1.408,1.122,2.031,0.581,0.302
0,-0.086,0.144,-0.266,-0.837,1.195
0,-0.257,0.849,0.686,0.964,2.456
0,0.785,1.637,1.232,0.475,0.238
